age,workclass,fnlwgt,education,educational-num,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income_>50K
67,Private,366425,Doctorate,16,Exec-managerial,White,Male,99999,0,60,United-States,1
17,Private,244602,12th,8,Other-service,White,Male,0,0,15,United-States,0
31,Private,174201,Bachelors,13,Exec-managerial,White,Male,0,0,40,United-States,1
58,State-gov,110199,7th-8th,4,Transport-moving,White,Male,0,0,40,United-States,0
25,State-gov,149248,Some-college,10,Other-service,Black,Male,0,0,40,United-States,0
59,State-gov,105363,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
70,Private,216390,9th,5,Machine-op-inspct,White,Female,2653,0,40,United-States,0
54,Self-emp-inc,129432,Bachelors,13,Exec-managerial,White,Male,15024,0,40,United-States,1
44,Private,163331,Some-college,10,Adm-clerical,White,Female,0,0,32,United-States,0
35,Private,38245,Some-college,10,Craft-repair,White,Male,0,0,60,United-States,0
71,Private,152307,HS-grad,9,Exec-managerial,White,Male,0,2377,45,United-States,1
53,Private,188644,Preschool,1,Other-service,White,Male,0,0,40,Mexico,0
30,Private,182833,Some-college,10,Exec-managerial,Black,Female,0,0,40,United-States,0
34,Private,434463,Bachelors,13,Machine-op-inspct,White,Female,0,0,39,United-States,0
62,Private,312818,Bachelors,13,Exec-managerial,White,Male,0,1902,1,United-States,1
21,State-gov,173534,Some-college,10,Prof-specialty,White,Female,0,0,40,Ecuador,0
42,Private,204235,HS-grad,9,Sales,White,Male,0,0,40,United-States,0
26,Private,193165,Some-college,10,Transport-moving,White,Male,0,0,52,United-States,1
43,Private,175133,Some-college,10,Tech-support,Black,Female,0,0,35,United-States,0
28,Private,161538,Bachelors,13,Tech-support,White,Female,0,0,35,United-States,0
23,Private,177787,Bachelors,13,Sales,White,Female,0,0,30,England,0
21,Private,157893,HS-grad,9,Transport-moving,White,Female,0,0,40,United-States,0
30,Private,296462,Masters,14,Prof-specialty,Black,Male,0,0,30,United-States,0
58,Private,136951,Bachelors,13,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Philippines,0
40,Private,87771,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
21,Private,206008,Some-college,10,Adm-clerical,Black,Male,0,0,50,United-States,0
25,Private,340288,9th,5,Handlers-cleaners,White,Male,0,0,40,United-States,0
50,Self-emp-inc,262777,Masters,14,Exec-managerial,Asian-Pac-Islander,Male,0,0,45,China,0
27,Private,60288,Masters,14,Sales,White,Female,0,0,40,United-States,0
19,Private,366088,9th,5,Machine-op-inspct,White,Male,0,0,40,United-States,0
52,State-gov,254285,Doctorate,16,Prof-specialty,White,Male,0,1887,70,Germany,1
38,State-gov,534775,Some-college,10,Tech-support,Black,Female,0,0,50,United-States,0
49,Self-emp-inc,195727,HS-grad,9,Sales,White,Male,0,0,40,United-States,0
36,Private,160035,Some-college,10,Exec-managerial,White,Male,0,0,55,United-States,1
21,Private,199444,HS-grad,9,Adm-clerical,White,Female,0,0,44,United-States,0
32,Private,211743,Bachelors,13,Sales,White,Male,0,0,45,United-States,0
24,Private,56121,5th-6th,3,Farming-fishing,White,Male,0,0,60,Mexico,0
59,Private,131869,HS-grad,9,Other-service,White,Female,0,0,35,United-States,0
20,State-gov,318382,HS-grad,9,Adm-clerical,White,Male,0,0,40,United-States,0
58,Private,265579,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
34,State-gov,180871,Bachelors,13,Adm-clerical,White,Male,0,0,55,United-States,0
52,Private,31533,HS-grad,9,Other-service,White,Male,0,0,40,United-States,0
56,Private,165867,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
27,State-gov,122660,Bachelors,13,Prof-specialty,Black,Female,0,0,40,United-States,0
49,Self-emp-inc,172246,Bachelors,13,Sales,White,Male,99999,0,40,United-States,1
33,Private,195770,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
23,Private,276568,Some-college,10,Sales,White,Female,0,0,40,United-States,0
18,Self-emp-inc,147612,HS-grad,9,Farming-fishing,White,Female,0,0,8,United-States,0
37,Private,103925,HS-grad,9,Adm-clerical,White,Female,0,0,68,United-States,0
32,State-gov,71151,Bachelors,13,Tech-support,White,Male,0,0,20,United-States,0
32,Self-emp-inc,204470,Some-college,10,Sales,White,Male,0,0,99,United-States,1
37,Private,910398,Bachelors,13,Sales,Black,Female,0,0,40,United-States,0
31,Private,109055,HS-grad,9,Farming-fishing,White,Male,3137,0,45,United-States,0
19,Private,148644,HS-grad,9,Adm-clerical,White,Female,0,0,40,United-States,0
34,Private,176244,HS-grad,9,Machine-op-inspct,White,Female,0,0,40,Mexico,0
47,Private,168262,Some-college,10,Exec-managerial,White,Male,0,0,60,United-States,1
32,Self-emp-inc,78530,Some-college,10,Exec-managerial,White,Male,15024,0,50,United-States,1
42,State-gov,82161,HS-grad,9,Protective-serv,White,Male,0,0,72,United-States,1
26,Private,213412,11th,7,Craft-repair,White,Male,0,0,40,United-States,0
38,Private,61343,9th,5,Craft-repair,White,Male,0,0,40,United-States,0
54,State-gov,161334,Masters,14,Prof-specialty,Asian-Pac-Islander,Female,0,0,40,China,0
43,State-gov,23157,HS-grad,9,Transport-moving,White,Male,0,0,60,United-States,0
50,Self-emp-inc,160151,Some-college,10,Sales,White,Male,0,0,60,United-States,1
34,State-gov,355700,HS-grad,9,Adm-clerical,White,Female,0,0,20,United-States,0
47,Self-emp-inc,188610,HS-grad,9,Machine-op-inspct,White,Male,0,0,48,United-States,0
50,Private,27484,HS-grad,9,Exec-managerial,White,Male,0,0,50,United-States,1
21,Private,338162,HS-grad,9,Machine-op-inspct,Black,Female,0,0,37,United-States,0
18,Private,275848,12th,8,Sales,White,Female,0,0,16,United-States,0
24,Self-emp-inc,165474,Bachelors,13,Sales,White,Male,0,0,40,United-States,0
38,Private,103323,HS-grad,9,Machine-op-inspct,White,Male,0,0,40,United-States,0
45,Private,210875,HS-grad,9,Craft-repair,White,Male,0,0,40,United-States,0
69,Private,98170,7th-8th,4,Other-service,White,Female,1086,0,20,United-States,0
21,Private,654141,HS-grad,9,Craft-repair,Black,Male,0,0,32,United-States,0
64,Private,143110,Bachelors,13,Prof-specialty,White,Female,0,0,30,United-States,0
